venda_id,data_venda,produto_id,produto,categoria,preco_unitario,quantidade,desconto,valor_total,regiao,cidade,canal,forma_pagamento,cliente_id,custo_unitario
105652,2024-08-08,1012,Jogo de Panelas,Casa e Decoracao,378.74,1,0.0,378.74,Sudeste,Rio de Janeiro,E-commerce,PIX,223,165.95
105066,2026-05-05,1003,Smart TV,Eletronicos,2850.57,3,0.0,8551.71,Norte,Manaus,App,Dinheiro,95,2035.31
107971,2026-06-30,1022,Kit Skincare,Beleza,143.23,2,0.0,286.46,Sul,Porto Alegre,E-commerce,Cartao de Credito,798,61.92
111404,2024-08-25,1010,Vestido,Vestuario,301.62,4,0.0,1206.48,Nordeste,Fortaleza,App,Cartao de Debito,644,92.56
107215,2024-08-26,1013,Almofada,Casa e Decoracao,33.06,2,0.0,66.12,Sudeste,Belo Horizonte,Loja Fisica,,450,20.74
110881,2026-04-27,1019,Halteres,Esportes,290.04,2,0.0,580.08,Sul,Florianopolis,App,PIX,71,107.57
103343,2026-01-02,1023,Secador de Cabelo,Beleza,179.55,1,0.0,179.55,Centro-Oeste,Goiania,E-commerce,Cartao de Credito,21,72.83
111885,2025-06-22,1001,Notebook,Eletronicos,3581.1,3,0.0,10743.3,Centro-Oeste,,E-commerce,Dinheiro,147,2220.02
100217,2024-04-20,1006,Camiseta,Vestuario,50.18,3,0.05,143.01,Centro-Oeste,Brasilia,Loja Fisica,PIX,97,25.27
103100,2026-03-13,1012,Jogo de Panelas,Casa e Decoracao,378.74,1,0.0,378.74,Nordeste,Salvador,E-commerce,Cartao de Debito,82,165.95
111890,2025-11-21,1018,Bola de Futebol,Esportes,150.12,1,0.05,142.61,Centro-Oeste,Brasilia,Loja Fisica,Pix,223,53.27
109971,2024-11-20,1004,Tablet,Eletronicos,958.97,3,0.0,2876.91,Centro-Oeste,Goiania,Loja Fisica,Cartao de Credito,626,701.26
101451,2025-07-16,1010,Vestido,Vestuario,301.62,1,0.1,271.46,Nordeste,Salvador,Loja Fisica,Dinheiro,566,92.56
101368,2025-04-10,1001,Notebook,Eletronicos,3581.1,2,0.1,6445.98,Centro-Oeste,Goiania,App,Boleto,664,2220.02
109954,2025-09-22,1002,Fone de Ouvido,Eletronicos,636.23,1,0.0,636.23,Sul,Florianopolis,App,Pix,76,64.73
104565,2025-03-16,1023,Secador de Cabelo,Beleza,179.55,1,0.0,179.55,Sudeste,Sao Paulo,E-commerce,Cartao de Debito,69,72.83
103516,2025-08-22,1021,Perfume,Beleza,235.41,2,0.0,470.82,Nordeste,Recife,App,Boleto,61,98.2
109251,2025-02-06,1010,Vestido,VESTUARIO,301.62,1,0.05,286.54,Sudeste,Rio de Janeiro,App,Pix,418,92.56
105103,2024-01-31,1011,Luminaria,Casa e Decoracao,96.53,1,0.0,96.53,Norte,Manaus,Loja Fisica,Cartao de Credito,616,45.44
102076,2025-04-09,1013,Almofada,Casa e Decoracao,33.06,2,0.05,62.81,Nordeste,Fortaleza,App,Cartao de Debito,554,20.74
110821,2025-10-21,1020,Bicicleta,Esportes,932.48,4,0.0,3729.92,Sudeste,Sao Paulo,Loja Fisica,pix,382,640.91
101719,2026-02-27,1018,Bola de Futebol,Esportes,150.12,1,0.05,142.61,Norte,,App,Dinheiro,456,53.27
111008,2025-07-25,1020,Bicicleta,Esportes,932.48,2,0.0,1864.96,Nordeste,Recife,Loja Fisica,Cartao de Credito,715,640.91
109596,2025-09-15,1001,Notebook,Eletronicos,3581.1,1,0.05,3402.04,Sudeste,Rio de Janeiro,App,Boleto,173,2220.02
110951,2024-07-31,1020,Bicicleta,Esportes,932.48,1,0.05,885.86,Centro-Oeste,Brasilia,E-commerce,Boleto,99,640.91
104480,2024-01-24,1019,Halteres,Esportes,290.04,1,0.0,290.04,Sul,Curitiba,Loja Fisica,Dinheiro,644,107.57
107098,10/10/2024,1019,Halteres,Esportes,290.04,1,0.05,275.54,Centro-Oeste,Brasilia,E-commerce,Dinheiro,500,107.57
103816,2025-10-28,1023,Secador de Cabelo,Beleza,179.55,1,0.0,179.55,Centro-Oeste,Brasilia,Loja Fisica,Boleto,196,72.83
110654,2025-07-01,1001,Notebook,Eletronicos,3581.1,5,0.0,17905.5,Norte,Manaus,Loja Fisica,Cartao de Credito,258,2220.02
107031,2024-04-16,1019,Halteres,Esportes,290.04,1,0.15,246.53,Nordeste,Fortaleza,E-commerce,Cartao de Debito,481,107.57
