venda_id,data_venda,ano,mes,ano_mes,trimestre,dia_semana,produto_id,produto,categoria,quantidade,preco_unitario,desconto,custo_unitario,custo_total,valor_total,lucro,margem_pct,regiao,cidade,canal,forma_pagamento,cliente_id
104781,2024-01-17,2024,1,2024-01,T1,Wednesday,1019,Halteres,Esportes,3,290.04,0.0,107.57,322.71,870.12,547.41,62.9,Sul,Porto Alegre,E-commerce,Pix,637
104122,2024-01-17,2024,1,2024-01,T1,Wednesday,1023,Secador de Cabelo,Beleza,5,179.55,0.0,72.83,364.15,897.75,533.6,59.4,Nordeste,Fortaleza,App,Boleto,709
105092,2024-01-17,2024,1,2024-01,T1,Wednesday,1013,Almofada,Casa e Decoracao,1,33.06,0.0,20.74,20.74,33.06,12.32,37.3,Norte,Belem,E-commerce,Cartao De Debito,589
111512,2024-01-17,2024,1,2024-01,T1,Wednesday,1001,Notebook,Eletronicos,1,3581.1,0.0,2220.02,2220.02,3581.1,1361.08,38.0,Sudeste,Nao Informado,Loja Fisica,Pix,750
110071,2024-01-17,2024,1,2024-01,T1,Wednesday,1004,Tablet,Eletronicos,1,958.97,0.0,701.26,701.26,958.97,257.71,26.9,Centro-Oeste,Brasilia,Loja Fisica,Dinheiro,754
105386,2024-01-17,2024,1,2024-01,T1,Wednesday,1000,Smartphone,Eletronicos,1,1360.88,0.0,1004.62,1004.62,1360.88,356.26,26.2,Nordeste,Salvador,E-commerce,Boleto,219
100462,2024-01-17,2024,1,2024-01,T1,Wednesday,1012,Jogo de Panelas,Casa e Decoracao,1,378.74,0.0,165.95,165.95,378.74,212.79,56.2,Sul,Florianopolis,E-commerce,Cartao De Credito,512
100144,2024-01-17,2024,1,2024-01,T1,Wednesday,1004,Tablet,Eletronicos,1,958.97,0.0,701.26,701.26,958.97,257.71,26.9,Nordeste,Fortaleza,E-commerce,Cartao De Credito,301
106132,2024-01-17,2024,1,2024-01,T1,Wednesday,1012,Jogo de Panelas,Casa e Decoracao,4,378.74,0.05,165.95,663.8,1439.21,775.41,53.9,Sudeste,Belo Horizonte,App,Pix,529
109722,2024-01-17,2024,1,2024-01,T1,Wednesday,1022,Kit Skincare,Beleza,2,143.23,0.2,61.92,123.84,229.17,105.33,46.0,Sudeste,Rio de Janeiro,App,Cartao De Credito,137
111393,2024-01-17,2024,1,2024-01,T1,Wednesday,1018,Bola de Futebol,Esportes,1,150.12,0.05,53.27,53.27,142.61,89.34,62.6,Sudeste,Rio de Janeiro,E-commerce,Dinheiro,126
108423,2024-01-17,2024,1,2024-01,T1,Wednesday,1001,Notebook,Eletronicos,1,3581.1,0.05,2220.02,2220.02,3402.04,1182.02,34.7,Nordeste,Salvador,E-commerce,Cartao De Credito,685
